,year,genre,popularity,popularity_smoothed
480,1825,historical,,
481,1826,historical,,
482,1827,historical,,
483,1828,historical,0.0,
484,1829,historical,,
485,1830,historical,25.0,
486,1831,historical,100.0,
487,1832,historical,,
488,1833,historical,18.181818181818183,
489,1834,historical,33.33333333333333,
490,1835,historical,15.384615384615385,
491,1836,historical,,
492,1838,historical,0.0,
493,1839,historical,,
494,1842,historical,,
495,1845,historical,0.0,
496,1846,historical,50.0,
497,1847,historical,33.33333333333333,
498,1848,historical,9.090909090909092,23.203463203463205
499,1852,historical,0.0,23.203463203463205
500,1853,historical,20.0,
501,1855,historical,50.0,
502,1856,historical,0.0,
503,1857,historical,,
504,1858,historical,0.0,
505,1859,historical,0.0,
506,1860,historical,14.285714285714285,
507,1861,historical,33.33333333333333,13.945578231292517
508,1862,historical,0.0,13.945578231292517
509,1864,historical,50.0,13.945578231292517
510,1865,historical,0.0,11.904761904761907
511,1869,historical,0.0,7.142857142857143
512,1873,historical,0.0,7.142857142857143
513,1876,historical,0.0,2.3809523809523805
514,1877,historical,0.0,2.3809523809523805
515,1880,historical,0.0,2.3809523809523805
516,1881,historical,16.666666666666664,3.095238095238095
517,1882,historical,0.0,4.523809523809524
518,1883,historical,0.0,5.173160173160173
519,1884,historical,5.0,7.554112554112554
520,1885,historical,10.0,5.173160173160173
521,1886,historical,4.545454545454546,19.458874458874458
522,1887,historical,16.666666666666664,26.601731601731604
523,1889,historical,0.0,25.88744588744589
524,1890,historical,100.0,24.458874458874458
525,1891,historical,50.0,
526,1892,historical,0.0,
527,1893,historical,0.0,
528,1894,historical,,
529,1895,historical,4.761904761904762,
530,1896,historical,0.0,
531,1897,historical,11.11111111111111,
532,1898,historical,10.0,
533,1899,historical,50.0,
534,1900,historical,,
535,1901,historical,,
536,1902,historical,25.0,
537,1903,historical,12.5,
538,1904,historical,0.0,
539,1905,historical,28.57142857142857,
540,1906,historical,12.5,
541,1907,historical,,
542,1908,historical,0.0,
543,1909,historical,20.0,
544,1910,historical,0.0,
545,1911,historical,0.0,12.040816326530612
546,1912,historical,14.285714285714285,16.802721088435373
547,1913,historical,0.0,13.945578231292517
548,1914,historical,50.0,13.945578231292517
549,1915,historical,33.33333333333333,13.945578231292517
550,1918,historical,0.0,
551,1921,historical,0.0,
552,1923,historical,0.0,
553,1816,tragedy,,
554,1817,tragedy,,
555,1818,tragedy,,
556,1819,tragedy,,
557,1822,tragedy,0.0,
558,1824,tragedy,,
559,1825,tragedy,,
560,1826,tragedy,,
561,1827,tragedy,,
562,1828,tragedy,100.0,
563,1829,tragedy,,
564,1830,tragedy,25.0,
565,1831,tragedy,0.0,
566,1832,tragedy,,
567,1833,tragedy,18.181818181818183,
568,1834,tragedy,33.33333333333333,
569,1835,tragedy,7.6923076923076925,
570,1836,tragedy,,
571,1838,tragedy,0.0,
572,1839,tragedy,,
573,1842,tragedy,,
574,1845,tragedy,0.0,
575,1846,tragedy,0.0,
576,1847,tragedy,16.666666666666664,
577,1848,tragedy,0.0,18.809523809523807
578,1852,tragedy,50.0,18.809523809523807
579,1853,tragedy,40.0,
580,1855,tragedy,25.0,
581,1856,tragedy,0.0,
582,1857,tragedy,,
583,1858,tragedy,33.33333333333333,
584,1859,tragedy,0.0,
585,1860,tragedy,0.0,
586,1861,tragedy,0.0,11.904761904761903
587,1862,tragedy,0.0,7.142857142857143
588,1864,tragedy,50.0,7.142857142857143
589,1865,tragedy,0.0,11.904761904761903
590,1869,tragedy,0.0,11.904761904761903
591,1873,tragedy,0.0,16.666666666666664
592,1876,tragedy,33.33333333333333,11.904761904761902
593,1877,tragedy,0.0,13.33333333333333
594,1880,tragedy,33.33333333333333,13.33333333333333
595,1881,tragedy,16.666666666666664,14.047619047619046
596,1882,tragedy,10.0,10.714285714285714
597,1883,tragedy,0.0,12.012987012987011
598,1884,tragedy,5.0,9.632034632034632
599,1885,tragedy,10.0,10.822510822510822
600,1886,tragedy,9.090909090909092,9.393939393939393
601,1887,tragedy,16.666666666666664,9.393939393939393
602,1889,tragedy,25.0,12.761286332714905
603,1890,tragedy,0.0,11.332714904143476
604,1891,tragedy,0.0,
605,1892,tragedy,28.57142857142857,
606,1893,tragedy,0.0,
607,1894,tragedy,,
608,1895,tragedy,19.047619047619047,
609,1896,tragedy,0.0,
610,1897,tragedy,11.11111111111111,
611,1898,tragedy,20.0,
612,1899,tragedy,0.0,
613,1900,tragedy,,
614,1901,tragedy,,
615,1902,tragedy,25.0,
616,1903,tragedy,12.5,
617,1904,tragedy,0.0,
618,1905,tragedy,0.0,
619,1906,tragedy,0.0,
620,1907,tragedy,,
621,1908,tragedy,0.0,
622,1909,tragedy,20.0,
623,1910,tragedy,0.0,
624,1911,tragedy,33.33333333333333,9.659863945578232
625,1912,tragedy,14.285714285714285,9.659863945578232
626,1913,tragedy,0.0,6.802721088435374
627,1914,tragedy,0.0,6.802721088435374
628,1915,tragedy,0.0,3.339517625231911
629,1918,tragedy,0.0,
630,1921,tragedy,0.0,
631,1923,tragedy,9.090909090909092,
632,1816,romance,,
633,1817,romance,,
634,1818,romance,,
635,1819,romance,,
636,1822,romance,0.0,
637,1824,romance,,
638,1825,romance,,
639,1826,romance,,
640,1827,romance,,
641,1828,romance,0.0,
642,1829,romance,,
643,1830,romance,12.5,
644,1831,romance,0.0,
